Entity,Code,Year,Patent_applications,id,Total
Cuba,CUB,2020,1,192,1
Czechia,CZE,2013,1,203,1
Czechia,CZE,2014,0,203,1
Czechia,CZE,2015,0,203,1
Czechia,CZE,2016,0,203,1
Czechia,CZE,2017,1,203,2
Czechia,CZE,2018,1,203,3
Czechia,CZE,2019,1,203,4
Czechia,CZE,2020,3,203,7
Denmark,DNK,2013,8,208,8
Denmark,DNK,2014,11,208,19
Denmark,DNK,2015,21,208,40
Denmark,DNK,2016,15,208,55
Denmark,DNK,2017,19,208,74
Denmark,DNK,2018,23,208,97
Denmark,DNK,2019,14,208,111
Denmark,DNK,2020,17,208,128
Finland,FIN,2013,3,246,3
Finland,FIN,2014,11,246,14
Finland,FIN,2015,11,246,25
Finland,FIN,2016,8,246,33
Finland,FIN,2017,19,246,52
Finland,FIN,2018,37,246,89
Finland,FIN,2019,31,246,120
Finland,FIN,2020,36,246,156
France,FRA,2013,28,250,28
France,FRA,2014,33,250,61
France,FRA,2015,35,250,96
France,FRA,2016,66,250,162
France,FRA,2017,97,250,259
France,FRA,2018,184,250,443
France,FRA,2019,221,250,664
France,FRA,2020,282,250,946
Germany,DEU,2013,65,276,65
Germany,DEU,2014,67,276,132
Germany,DEU,2015,121,276,253
Germany,DEU,2016,235,276,488
Germany,DEU,2017,399,276,887
Germany,DEU,2018,635,276,1522
Germany,DEU,2019,849,276,2371
Germany,DEU,2020,1030,276,3401
Greece,GRC,2013,0,300,0
Greece,GRC,2014,1,300,1
Greece,GRC,2015,2,300,3
Greece,GRC,2016,4,300,7
Greece,GRC,2017,14,300,21
Greece,GRC,2018,9,300,30
Greece,GRC,2019,3,300,33
Greece,GRC,2020,5,300,38
Hong Kong,HKG,2013,0,344,0
Hong Kong,HKG,2014,0,344,0
Hong Kong,HKG,2015,0,344,0
Hong Kong,HKG,2016,4,344,4
Hong Kong,HKG,2017,1,344,5
Hong Kong,HKG,2018,14,344,19
Hong Kong,HKG,2019,1,344,20
Hong Kong,HKG,2020,0,344,20
Hungary,HUN,2013,2,348,2
Hungary,HUN,2014,1,348,3
Hungary,HUN,2015,8,348,11
Hungary,HUN,2016,5,348,16
Hungary,HUN,2017,6,348,22
Hungary,HUN,2018,3,348,25
Hungary,HUN,2019,4,348,29
Hungary,HUN,2020,2,348,31
India,IND,2013,54,356,54
India,IND,2014,49,356,103
India,IND,2015,111,356,214
India,IND,2016,156,356,370
India,IND,2017,269,356,639
India,IND,2018,270,356,909
India,IND,2019,10,356,919
India,IND,2020,5,356,924
Indonesia,IDN,2013,1,360,1
Indonesia,IDN,2014,0,360,1
Indonesia,IDN,2015,0,360,1
Indonesia,IDN,2016,2,360,3
Indonesia,IDN,2017,0,360,3
Indonesia,IDN,2018,0,360,3
Indonesia,IDN,2019,0,360,3
Indonesia,IDN,2020,0,360,3
Iran,IRN,2013,0,364,0
Iran,IRN,2014,0,364,0
Iran,IRN,2015,0,364,0
Iran,IRN,2016,0,364,0
Iran,IRN,2017,0,364,0
Iran,IRN,2018,1,364,1
Iran,IRN,2019,0,364,1
Iran,IRN,2020,0,364,1
Ireland,IRL,2013,0,372,0
Ireland,IRL,2014,0,372,0
Ireland,IRL,2015,0,372,0
Ireland,IRL,2016,2,372,2
Ireland,IRL,2017,0,372,2
Ireland,IRL,2018,2,372,4
Ireland,IRL,2019,0,372,4
Ireland,IRL,2020,0,372,4
Israel,ISR,2013,9,376,9
Israel,ISR,2014,6,376,15
Israel,ISR,2015,16,376,31
Israel,ISR,2016,5,376,36
Israel,ISR,2017,21,376,57
Israel,ISR,2018,20,376,77
Israel,ISR,2019,21,376,98
Israel,ISR,2020,23,376,121
Italy,ITA,2013,10,380,10
Italy,ITA,2014,6,380,16
Italy,ITA,2015,11,380,27
Italy,ITA,2016,21,380,48
Italy,ITA,2017,29,380,77
Italy,ITA,2018,42,380,119
Italy,ITA,2019,60,380,179
Italy,ITA,2020,65,380,244
Japan,JPN,2013,354,392,354
Japan,JPN,2014,512,392,866
Japan,JPN,2015,739,392,1605
Japan,JPN,2016,1358,392,2963
Japan,JPN,2017,2379,392,5342
Japan,JPN,2018,3581,392,8923
Japan,JPN,2019,4240,392,13163
Japan,JPN,2020,4262,392,17425
Jordan,JOR,2013,0,400,0
Jordan,JOR,2014,0,400,0
Jordan,JOR,2015,0,400,0
Jordan,JOR,2016,0,400,0
Jordan,JOR,2017,1,400,1
Jordan,JOR,2018,0,400,1
Jordan,JOR,2019,0,400,1
Jordan,JOR,2020,0,400,1
Kenya,KEN,2013,0,404,0
Kenya,KEN,2014,0,404,0
Kenya,KEN,2015,0,404,0
Kenya,KEN,2016,1,404,1
Kenya,KEN,2017,0,404,1
Kenya,KEN,2018,0,404,1
Kenya,KEN,2019,0,404,1
Kenya,KEN,2020,0,404,1
Latvia,LVA,2013,0,428,0
Latvia,LVA,2014,0,428,0
Latvia,LVA,2015,0,428,0
Latvia,LVA,2016,0,428,0
Latvia,LVA,2017,1,428,1
Latvia,LVA,2018,0,428,1
Latvia,LVA,2019,0,428,1
Latvia,LVA,2020,1,428,2
Lithuania,LTU,2013,0,440,0
Lithuania,LTU,2014,2,440,2
Lithuania,LTU,2015,4,440,6
Lithuania,LTU,2016,3,440,9
Lithuania,LTU,2017,4,440,13
Lithuania,LTU,2018,9,440,22
Lithuania,LTU,2019,2,440,24
Lithuania,LTU,2020,5,440,29
Luxembourg,LUX,2013,0,442,0
Luxembourg,LUX,2014,0,442,0
Luxembourg,LUX,2015,0,442,0
Luxembourg,LUX,2016,2,442,2
Luxembourg,LUX,2017,3,442,5
Luxembourg,LUX,2018,9,442,14
Luxembourg,LUX,2019,10,442,24
Luxembourg,LUX,2020,13,442,37
Malaysia,MYS,2013,14,458,14
Malaysia,MYS,2014,10,458,24
Malaysia,MYS,2015,18,458,42
Malaysia,MYS,2016,10,458,52
Malaysia,MYS,2017,13,458,65
Malaysia,MYS,2018,9,458,74
Malaysia,MYS,2019,1,458,75
Malaysia,MYS,2020,2,458,77
Mexico,MEX,2013,32,484,32
Mexico,MEX,2014,21,484,53
Mexico,MEX,2015,47,484,100
Mexico,MEX,2016,64,484,164
Mexico,MEX,2017,70,484,234
Mexico,MEX,2018,91,484,325
Mexico,MEX,2019,105,484,430
Mexico,MEX,2020,104,484,534
Morocco,MAR,2013,1,504,1
Morocco,MAR,2014,3,504,4
Morocco,MAR,2015,2,504,6
Morocco,MAR,2016,3,504,9
Morocco,MAR,2017,5,504,14
Morocco,MAR,2018,7,504,21
Morocco,MAR,2019,7,504,28
Morocco,MAR,2020,1,504,29
Netherlands,NLD,2013,2,528,2
Netherlands,NLD,2014,1,528,3
Netherlands,NLD,2015,5,528,8
Netherlands,NLD,2016,6,528,14
Netherlands,NLD,2017,5,528,19
Netherlands,NLD,2018,13,528,32
Netherlands,NLD,2019,24,528,56
Netherlands,NLD,2020,19,528,75
New Zealand,NZL,2013,7,554,7
New Zealand,NZL,2014,4,554,11
New Zealand,NZL,2015,17,554,28
New Zealand,NZL,2016,3,554,31
New Zealand,NZL,2017,10,554,41
New Zealand,NZL,2018,12,554,53
New Zealand,NZL,2019,5,554,58
New Zealand,NZL,2020,0,554,58
Norway,NOR,2013,1,578,1
Norway,NOR,2014,2,578,3
Norway,NOR,2015,0,578,3
Norway,NOR,2016,3,578,6
Norway,NOR,2017,2,578,8
Norway,NOR,2018,6,578,14
Norway,NOR,2019,5,578,19
Norway,NOR,2020,8,578,27
Oman,OMN,2013,0,512,0
Oman,OMN,2014,0,512,0
Oman,OMN,2015,0,512,0
Oman,OMN,2016,1,512,1
Oman,OMN,2017,0,512,1
Oman,OMN,2018,0,512,1
Oman,OMN,2019,0,512,1
Oman,OMN,2020,0,512,1
Panama,PAN,2013,0,591,0
Panama,PAN,2014,0,591,0
Panama,PAN,2015,0,591,0
Panama,PAN,2016,2,591,2
Panama,PAN,2017,0,591,2
Panama,PAN,2018,0,591,2
Panama,PAN,2019,0,591,2
Panama,PAN,2020,0,591,2
Peru,PER,2013,0,604,0
Peru,PER,2014,0,604,0
Peru,PER,2015,2,604,2
Peru,PER,2016,3,604,5
Peru,PER,2017,0,604,5
Peru,PER,2018,3,604,8
Peru,PER,2019,3,604,11
Peru,PER,2020,12,604,23
Philippines,PHL,2013,0,608,0
Philippines,PHL,2014,0,608,0
Philippines,PHL,2015,4,608,4
Philippines,PHL,2016,3,608,7
Philippines,PHL,2017,1,608,8
Philippines,PHL,2018,2,608,10
Philippines,PHL,2019,7,608,17
Philippines,PHL,2020,2,608,19
Poland,POL,2013,6,616,6
Poland,POL,2014,8,616,14
Poland,POL,2015,19,616,33
Poland,POL,2016,14,616,47
Poland,POL,2017,10,616,57
Poland,POL,2018,19,616,76
Poland,POL,2019,13,616,89
Poland,POL,2020,8,616,97
Portugal,PRT,2013,1,620,1
Portugal,PRT,2014,1,620,2
Portugal,PRT,2015,5,620,7
Portugal,PRT,2016,10,620,17
Portugal,PRT,2017,6,620,23
Portugal,PRT,2018,11,620,34
Portugal,PRT,2019,3,620,37
Portugal,PRT,2020,8,620,45
Romania,ROU,2013,0,642,0
Romania,ROU,2014,0,642,0
Romania,ROU,2015,6,642,6
Romania,ROU,2016,2,642,8
Romania,ROU,2017,5,642,13
Romania,ROU,2018,5,642,18
Romania,ROU,2019,6,642,24
Romania,ROU,2020,9,642,33
Russia,RUS,2013,45,643,45
Russia,RUS,2014,83,643,128
Russia,RUS,2015,98,643,226
Russia,RUS,2016,137,643,363
Russia,RUS,2017,182,643,545
Russia,RUS,2018,210,643,755
Russia,RUS,2019,169,643,924
Russia,RUS,2020,189,643,1113
Saudi Arabia,SAU,2013,0,682,0
Saudi Arabia,SAU,2014,0,682,0
Saudi Arabia,SAU,2015,0,682,0
Saudi Arabia,SAU,2016,0,682,0
Saudi Arabia,SAU,2017,0,682,0
Saudi Arabia,SAU,2018,2,682,2
Saudi Arabia,SAU,2019,2,682,4
Saudi Arabia,SAU,2020,2,682,6
Serbia,SRB,2013,1,688,1
Serbia,SRB,2014,1,688,2
Serbia,SRB,2015,1,688,3
Serbia,SRB,2016,2,688,5
Serbia,SRB,2017,2,688,7
Serbia,SRB,2018,5,688,12
Serbia,SRB,2019,4,688,16
Serbia,SRB,2020,5,688,21
Singapore,SGP,2013,26,702,26
Singapore,SGP,2014,36,702,62
Singapore,SGP,2015,33,702,95
Singapore,SGP,2016,51,702,146
Singapore,SGP,2017,111,702,257
Singapore,SGP,2018,201,702,458
Singapore,SGP,2019,151,702,609
Singapore,SGP,2020,52,702,661
Slovakia,SVK,2013,0,703,0
Slovakia,SVK,2014,0,703,0
Slovakia,SVK,2015,4,703,4
Slovakia,SVK,2016,0,703,4
Slovakia,SVK,2017,0,703,4
Slovakia,SVK,2018,0,703,4
Slovakia,SVK,2019,0,703,4
Slovakia,SVK,2020,4,703,8
Slovenia,SVN,2013,2,705,2
Slovenia,SVN,2014,0,705,2
Slovenia,SVN,2015,2,705,4
Slovenia,SVN,2016,3,705,7
Slovenia,SVN,2017,0,705,7
Slovenia,SVN,2018,4,705,11
Slovenia,SVN,2019,0,705,11
Slovenia,SVN,2020,0,705,11
South Africa,ZAF,2013,1,710,1
South Africa,ZAF,2014,3,710,4
South Africa,ZAF,2015,0,710,4
South Africa,ZAF,2016,3,710,7
South Africa,ZAF,2017,3,710,10
South Africa,ZAF,2018,4,710,14
South Africa,ZAF,2019,1,710,15
South Africa,ZAF,2020,6,710,21
South Korea,KOR,2013,291,410,291
South Korea,KOR,2014,365,410,656
South Korea,KOR,2015,457,410,1113
South Korea,KOR,2016,1158,410,2271
South Korea,KOR,2017,2376,410,4647
South Korea,KOR,2018,4161,410,8808
South Korea,KOR,2019,6595,410,15403
South Korea,KOR,2020,8296,410,23699
Spain,ESP,2013,22,724,22
Spain,ESP,2014,32,724,54
Spain,ESP,2015,37,724,91
Spain,ESP,2016,50,724,141
Spain,ESP,2017,52,724,193
Spain,ESP,2018,49,724,242
Spain,ESP,2019,46,724,288
Spain,ESP,2020,42,724,330
Sri Lanka,LKA,2013,0,144,0
Sri Lanka,LKA,2014,0,144,0
Sri Lanka,LKA,2015,0,144,0
Sri Lanka,LKA,2016,1,144,1
Sri Lanka,LKA,2017,0,144,1
Sri Lanka,LKA,2018,0,144,1
Sri Lanka,LKA,2019,0,144,1
Sri Lanka,LKA,2020,0,144,1
Sweden,SWE,2013,13,752,13
Sweden,SWE,2014,3,752,16
Sweden,SWE,2015,6,752,22
Sweden,SWE,2016,12,752,34
Sweden,SWE,2017,11,752,45
Sweden,SWE,2018,31,752,76
Sweden,SWE,2019,16,752,92
Sweden,SWE,2020,23,752,115
Switzerland,CHE,2013,0,756,0
Switzerland,CHE,2014,4,756,4
Switzerland,CHE,2015,3,756,7
Switzerland,CHE,2016,4,756,11
Switzerland,CHE,2017,2,756,13
Switzerland,CHE,2018,4,756,17
Switzerland,CHE,2019,3,756,20
Switzerland,CHE,2020,5,756,25
Taiwan,TWN,2013,47,158,47
Taiwan,TWN,2014,36,158,83
Taiwan,TWN,2015,47,158,130
Taiwan,TWN,2016,98,158,228
Taiwan,TWN,2017,186,158,414
Taiwan,TWN,2018,356,158,770
Taiwan,TWN,2019,497,158,1267
Taiwan,TWN,2020,624,158,1891
Thailand,THA,2013,0,764,0
Thailand,THA,2014,0,764,0
Thailand,THA,2015,0,764,0
Thailand,THA,2016,0,764,0
Thailand,THA,2017,1,764,1
Thailand,THA,2018,0,764,1
Thailand,THA,2019,0,764,1
Thailand,THA,2020,0,764,1
Tunisia,TUN,2013,0,788,0
Tunisia,TUN,2014,0,788,0
Tunisia,TUN,2015,0,788,0
Tunisia,TUN,2016,0,788,0
Tunisia,TUN,2017,0,788,0
Tunisia,TUN,2018,0,788,0
Tunisia,TUN,2019,0,788,0
Tunisia,TUN,2020,1,788,1
Turkey,TUR,2013,3,792,3
Turkey,TUR,2014,2,792,5
Turkey,TUR,2015,4,792,9
Turkey,TUR,2016,8,792,17
Turkey,TUR,2017,11,792,28
Turkey,TUR,2018,18,792,46
Turkey,TUR,2019,25,792,71
Turkey,TUR,2020,46,792,117
Ukraine,UKR,2013,11,804,11
Ukraine,UKR,2014,22,804,33
Ukraine,UKR,2015,12,804,45
Ukraine,UKR,2016,4,804,49
Ukraine,UKR,2017,2,804,51
Ukraine,UKR,2018,4,804,55
Ukraine,UKR,2019,1,804,56
Ukraine,UKR,2020,0,804,56
United Kingdom,GBR,2013,80,826,80
United Kingdom,GBR,2014,70,826,150
United Kingdom,GBR,2015,93,826,243
United Kingdom,GBR,2016,188,826,431
United Kingdom,GBR,2017,276,826,707
United Kingdom,GBR,2018,407,826,1114
United Kingdom,GBR,2019,423,826,1537
United Kingdom,GBR,2020,431,826,1968
United States,USA,2013,2230,840,2230
United States,USA,2014,2738,840,4968
United States,USA,2015,3930,840,8898
United States,USA,2016,6163,840,15061
United States,USA,2017,9851,840,24912
United States,USA,2018,13262,840,38174
United States,USA,2019,13873,840,52047
United States,USA,2020,12676,840,64723
Uruguay,URY,2013,0,858,0
Uruguay,URY,2014,0,858,0
Uruguay,URY,2015,0,858,0
Uruguay,URY,2016,0,858,0
Uruguay,URY,2017,1,858,1
Uruguay,URY,2018,0,858,1
Uruguay,URY,2019,0,858,1
Uruguay,URY,2020,1,858,2
