id,Year,Entity,Code,Patent_applications
96,2019,Brunei,BRN,0.0
96,2020,Brunei,BRN,0.0
100,2013,Bulgaria,BGR,0.0
100,2014,Bulgaria,BGR,0.0
100,2015,Bulgaria,BGR,1.0
100,2016,Bulgaria,BGR,0.0
100,2017,Bulgaria,BGR,3.0
100,2018,Bulgaria,BGR,4.0
100,2019,Bulgaria,BGR,3.0
100,2020,Bulgaria,BGR,12.0
124,2013,Canada,CAN,112.0
124,2014,Canada,CAN,118.0
124,2015,Canada,CAN,184.0
124,2016,Canada,CAN,334.0
124,2017,Canada,CAN,419.0
124,2018,Canada,CAN,677.0
124,2019,Canada,CAN,751.0
124,2020,Canada,CAN,876.0
152,2013,Chile,CHL,9.0
152,2014,Chile,CHL,1.0
152,2015,Chile,CHL,4.0
152,2016,Chile,CHL,0.0
152,2017,Chile,CHL,1.0
152,2018,Chile,CHL,1.0
152,2019,Chile,CHL,1.0
152,2020,Chile,CHL,0.0
156,2013,China,CHN,1956.0
156,2014,China,CHN,2484.0
156,2015,China,CHN,3946.0
156,2016,China,CHN,7956.0
156,2017,China,CHN,14803.0
156,2018,China,CHN,27588.0
156,2019,China,CHN,43810.0
156,2020,China,CHN,66071.0
170,2013,Colombia,COL,0.0
170,2014,Colombia,COL,0.0
170,2015,Colombia,COL,2.0
170,2016,Colombia,COL,0.0
170,2017,Colombia,COL,2.0
170,2018,Colombia,COL,0.0
170,2019,Colombia,COL,2.0
170,2020,Colombia,COL,0.0
188,2013,Costa Rica,CRI,0.0
188,2014,Costa Rica,CRI,0.0
188,2015,Costa Rica,CRI,0.0
188,2016,Costa Rica,CRI,0.0
188,2017,Costa Rica,CRI,0.0
188,2018,Costa Rica,CRI,0.0
188,2019,Costa Rica,CRI,1.0
188,2020,Costa Rica,CRI,1.0
191,2013,Croatia,HRV,0.0
191,2014,Croatia,HRV,0.0
191,2015,Croatia,HRV,1.0
191,2016,Croatia,HRV,0.0
191,2017,Croatia,HRV,0.0
191,2018,Croatia,HRV,2.0
191,2019,Croatia,HRV,1.0
191,2020,Croatia,HRV,0.0
192,2013,Cuba,CUB,0.0
192,2014,Cuba,CUB,0.0
192,2015,Cuba,CUB,0.0
192,2016,Cuba,CUB,0.0
192,2017,Cuba,CUB,0.0
192,2018,Cuba,CUB,0.0
192,2019,Cuba,CUB,0.0
192,2020,Cuba,CUB,1.0
203,2013,Czechia,CZE,1.0
203,2014,Czechia,CZE,0.0
203,2015,Czechia,CZE,0.0
203,2016,Czechia,CZE,0.0
203,2017,Czechia,CZE,1.0
203,2018,Czechia,CZE,1.0
203,2019,Czechia,CZE,1.0
203,2020,Czechia,CZE,3.0
208,2013,Denmark,DNK,8.0
208,2014,Denmark,DNK,11.0
208,2015,Denmark,DNK,21.0
208,2016,Denmark,DNK,15.0
208,2017,Denmark,DNK,19.0
208,2018,Denmark,DNK,23.0
208,2019,Denmark,DNK,14.0
208,2020,Denmark,DNK,17.0
246,2013,Finland,FIN,3.0
246,2014,Finland,FIN,11.0
246,2015,Finland,FIN,11.0
246,2016,Finland,FIN,8.0
246,2017,Finland,FIN,19.0
246,2018,Finland,FIN,37.0
246,2019,Finland,FIN,31.0
246,2020,Finland,FIN,36.0
250,2013,France,FRA,28.0
250,2014,France,FRA,33.0
250,2015,France,FRA,35.0
250,2016,France,FRA,66.0
250,2017,France,FRA,97.0
250,2018,France,FRA,184.0
250,2019,France,FRA,221.0
250,2020,France,FRA,282.0
276,2013,Germany,DEU,65.0
276,2014,Germany,DEU,67.0
276,2015,Germany,DEU,121.0
276,2016,Germany,DEU,235.0
276,2017,Germany,DEU,399.0
276,2018,Germany,DEU,635.0
276,2019,Germany,DEU,849.0
276,2020,Germany,DEU,1030.0
300,2013,Greece,GRC,0.0
300,2014,Greece,GRC,1.0
300,2015,Greece,GRC,2.0
300,2016,Greece,GRC,4.0
300,2017,Greece,GRC,14.0
300,2018,Greece,GRC,9.0
300,2019,Greece,GRC,3.0
300,2020,Greece,GRC,5.0
344,2013,Hong Kong,HKG,0.0
344,2014,Hong Kong,HKG,0.0
344,2015,Hong Kong,HKG,0.0
344,2016,Hong Kong,HKG,4.0
344,2017,Hong Kong,HKG,1.0
344,2018,Hong Kong,HKG,14.0
344,2019,Hong Kong,HKG,1.0
344,2020,Hong Kong,HKG,0.0
348,2013,Hungary,HUN,2.0
348,2014,Hungary,HUN,1.0
348,2015,Hungary,HUN,8.0
348,2016,Hungary,HUN,5.0
348,2017,Hungary,HUN,6.0
348,2018,Hungary,HUN,3.0
348,2019,Hungary,HUN,4.0
348,2020,Hungary,HUN,2.0
356,2013,India,IND,54.0
356,2014,India,IND,49.0
356,2015,India,IND,111.0
356,2016,India,IND,156.0
356,2017,India,IND,269.0
356,2018,India,IND,270.0
356,2019,India,IND,10.0
356,2020,India,IND,5.0
360,2013,Indonesia,IDN,1.0
360,2014,Indonesia,IDN,0.0
360,2015,Indonesia,IDN,0.0
360,2016,Indonesia,IDN,2.0
360,2017,Indonesia,IDN,0.0
360,2018,Indonesia,IDN,0.0
360,2019,Indonesia,IDN,0.0
360,2020,Indonesia,IDN,0.0
364,2013,Iran,IRN,0.0
364,2014,Iran,IRN,0.0
364,2015,Iran,IRN,0.0
364,2016,Iran,IRN,0.0
364,2017,Iran,IRN,0.0
364,2018,Iran,IRN,1.0
364,2019,Iran,IRN,0.0
364,2020,Iran,IRN,0.0
372,2013,Ireland,IRL,0.0
372,2014,Ireland,IRL,0.0
372,2015,Ireland,IRL,0.0
372,2016,Ireland,IRL,2.0
372,2017,Ireland,IRL,0.0
372,2018,Ireland,IRL,2.0
372,2019,Ireland,IRL,0.0
372,2020,Ireland,IRL,0.0
376,2013,Israel,ISR,9.0
376,2014,Israel,ISR,6.0
376,2015,Israel,ISR,16.0
376,2016,Israel,ISR,5.0
376,2017,Israel,ISR,21.0
376,2018,Israel,ISR,20.0
376,2019,Israel,ISR,21.0
376,2020,Israel,ISR,23.0
380,2013,Italy,ITA,10.0
380,2014,Italy,ITA,6.0
380,2015,Italy,ITA,11.0
380,2016,Italy,ITA,21.0
380,2017,Italy,ITA,29.0
380,2018,Italy,ITA,42.0
380,2019,Italy,ITA,60.0
380,2020,Italy,ITA,65.0
392,2013,Japan,JPN,354.0
392,2014,Japan,JPN,512.0
392,2015,Japan,JPN,739.0
392,2016,Japan,JPN,1358.0
392,2017,Japan,JPN,2379.0
392,2018,Japan,JPN,3581.0
392,2019,Japan,JPN,4240.0
392,2020,Japan,JPN,4262.0
400,2013,Jordan,JOR,0.0
400,2014,Jordan,JOR,0.0
400,2015,Jordan,JOR,0.0
400,2016,Jordan,JOR,0.0
400,2017,Jordan,JOR,1.0
400,2018,Jordan,JOR,0.0
400,2019,Jordan,JOR,0.0
400,2020,Jordan,JOR,0.0
404,2013,Kenya,KEN,0.0
404,2014,Kenya,KEN,0.0
404,2015,Kenya,KEN,0.0
404,2016,Kenya,KEN,1.0
404,2017,Kenya,KEN,0.0
404,2018,Kenya,KEN,0.0
404,2019,Kenya,KEN,0.0
404,2020,Kenya,KEN,0.0
428,2013,Latvia,LVA,0.0
428,2014,Latvia,LVA,0.0
428,2015,Latvia,LVA,0.0
428,2016,Latvia,LVA,0.0
428,2017,Latvia,LVA,1.0
428,2018,Latvia,LVA,0.0
428,2019,Latvia,LVA,0.0
428,2020,Latvia,LVA,1.0
440,2013,Lithuania,LTU,0.0
440,2014,Lithuania,LTU,2.0
440,2015,Lithuania,LTU,4.0
440,2016,Lithuania,LTU,3.0
440,2017,Lithuania,LTU,4.0
440,2018,Lithuania,LTU,9.0
440,2019,Lithuania,LTU,2.0
440,2020,Lithuania,LTU,5.0
442,2013,Luxembourg,LUX,0.0
442,2014,Luxembourg,LUX,0.0
442,2015,Luxembourg,LUX,0.0
442,2016,Luxembourg,LUX,2.0
442,2017,Luxembourg,LUX,3.0
442,2018,Luxembourg,LUX,9.0
442,2019,Luxembourg,LUX,10.0
442,2020,Luxembourg,LUX,13.0
458,2013,Malaysia,MYS,14.0
458,2014,Malaysia,MYS,10.0
458,2015,Malaysia,MYS,18.0
458,2016,Malaysia,MYS,10.0
458,2017,Malaysia,MYS,13.0
458,2018,Malaysia,MYS,9.0
458,2019,Malaysia,MYS,1.0
458,2020,Malaysia,MYS,2.0
484,2013,Mexico,MEX,32.0
484,2014,Mexico,MEX,21.0
484,2015,Mexico,MEX,47.0
484,2016,Mexico,MEX,64.0
484,2017,Mexico,MEX,70.0
484,2018,Mexico,MEX,91.0
484,2019,Mexico,MEX,105.0
484,2020,Mexico,MEX,104.0
504,2013,Morocco,MAR,1.0
504,2014,Morocco,MAR,3.0
504,2015,Morocco,MAR,2.0
504,2016,Morocco,MAR,3.0
504,2017,Morocco,MAR,5.0
504,2018,Morocco,MAR,7.0
504,2019,Morocco,MAR,7.0
504,2020,Morocco,MAR,1.0
528,2013,Netherlands,NLD,2.0
528,2014,Netherlands,NLD,1.0
528,2015,Netherlands,NLD,5.0
528,2016,Netherlands,NLD,6.0
528,2017,Netherlands,NLD,5.0
528,2018,Netherlands,NLD,13.0
528,2019,Netherlands,NLD,24.0
528,2020,Netherlands,NLD,19.0
554,2013,New Zealand,NZL,7.0
554,2014,New Zealand,NZL,4.0
554,2015,New Zealand,NZL,17.0
554,2016,New Zealand,NZL,3.0
554,2017,New Zealand,NZL,10.0
554,2018,New Zealand,NZL,12.0
554,2019,New Zealand,NZL,5.0
554,2020,New Zealand,NZL,0.0
578,2013,Norway,NOR,1.0
578,2014,Norway,NOR,2.0
578,2015,Norway,NOR,0.0
578,2016,Norway,NOR,3.0
578,2017,Norway,NOR,2.0
578,2018,Norway,NOR,6.0
578,2019,Norway,NOR,5.0
578,2020,Norway,NOR,8.0
512,2013,Oman,OMN,0.0
512,2014,Oman,OMN,0.0
512,2015,Oman,OMN,0.0
512,2016,Oman,OMN,1.0
512,2017,Oman,OMN,0.0
512,2018,Oman,OMN,0.0
512,2019,Oman,OMN,0.0
512,2020,Oman,OMN,0.0
591,2013,Panama,PAN,0.0
591,2014,Panama,PAN,0.0
591,2015,Panama,PAN,0.0
591,2016,Panama,PAN,2.0
591,2017,Panama,PAN,0.0
591,2018,Panama,PAN,0.0
591,2019,Panama,PAN,0.0
591,2020,Panama,PAN,0.0
604,2013,Peru,PER,0.0
604,2014,Peru,PER,0.0
604,2015,Peru,PER,2.0
604,2016,Peru,PER,3.0
604,2017,Peru,PER,0.0
604,2018,Peru,PER,3.0
604,2019,Peru,PER,3.0
604,2020,Peru,PER,12.0
608,2013,Philippines,PHL,0.0
608,2014,Philippines,PHL,0.0
608,2015,Philippines,PHL,4.0
608,2016,Philippines,PHL,3.0
608,2017,Philippines,PHL,1.0
608,2018,Philippines,PHL,2.0
608,2019,Philippines,PHL,7.0
608,2020,Philippines,PHL,2.0
616,2013,Poland,POL,6.0
616,2014,Poland,POL,8.0
616,2015,Poland,POL,19.0
616,2016,Poland,POL,14.0
616,2017,Poland,POL,10.0
616,2018,Poland,POL,19.0
616,2019,Poland,POL,13.0
616,2020,Poland,POL,8.0
620,2013,Portugal,PRT,1.0
620,2014,Portugal,PRT,1.0
620,2015,Portugal,PRT,5.0
620,2016,Portugal,PRT,10.0
620,2017,Portugal,PRT,6.0
620,2018,Portugal,PRT,11.0
620,2019,Portugal,PRT,3.0
620,2020,Portugal,PRT,8.0
642,2013,Romania,ROU,0.0
642,2014,Romania,ROU,0.0
642,2015,Romania,ROU,6.0
642,2016,Romania,ROU,2.0
642,2017,Romania,ROU,5.0
642,2018,Romania,ROU,5.0
642,2019,Romania,ROU,6.0
642,2020,Romania,ROU,9.0
643,2013,Russia,RUS,45.0
643,2014,Russia,RUS,83.0
643,2015,Russia,RUS,98.0
643,2016,Russia,RUS,137.0
643,2017,Russia,RUS,182.0
643,2018,Russia,RUS,210.0
643,2019,Russia,RUS,169.0
643,2020,Russia,RUS,189.0
682,2013,Saudi Arabia,SAU,0.0
682,2014,Saudi Arabia,SAU,0.0
682,2015,Saudi Arabia,SAU,0.0
682,2016,Saudi Arabia,SAU,0.0
682,2017,Saudi Arabia,SAU,0.0
682,2018,Saudi Arabia,SAU,2.0
682,2019,Saudi Arabia,SAU,2.0
682,2020,Saudi Arabia,SAU,2.0
688,2013,Serbia,SRB,1.0
688,2014,Serbia,SRB,1.0
688,2015,Serbia,SRB,1.0
688,2016,Serbia,SRB,2.0
688,2017,Serbia,SRB,2.0
688,2018,Serbia,SRB,5.0
688,2019,Serbia,SRB,4.0
688,2020,Serbia,SRB,5.0
702,2013,Singapore,SGP,26.0
702,2014,Singapore,SGP,36.0
702,2015,Singapore,SGP,33.0
702,2016,Singapore,SGP,51.0
702,2017,Singapore,SGP,111.0
702,2018,Singapore,SGP,201.0
702,2019,Singapore,SGP,151.0
702,2020,Singapore,SGP,52.0
703,2013,Slovakia,SVK,0.0
703,2014,Slovakia,SVK,0.0
703,2015,Slovakia,SVK,4.0
703,2016,Slovakia,SVK,0.0
703,2017,Slovakia,SVK,0.0
703,2018,Slovakia,SVK,0.0
703,2019,Slovakia,SVK,0.0
703,2020,Slovakia,SVK,4.0
705,2013,Slovenia,SVN,2.0
705,2014,Slovenia,SVN,0.0
705,2015,Slovenia,SVN,2.0
705,2016,Slovenia,SVN,3.0
705,2017,Slovenia,SVN,0.0
705,2018,Slovenia,SVN,4.0
705,2019,Slovenia,SVN,0.0
705,2020,Slovenia,SVN,0.0
710,2013,South Africa,ZAF,1.0
710,2014,South Africa,ZAF,3.0
710,2015,South Africa,ZAF,0.0
710,2016,South Africa,ZAF,3.0
710,2017,South Africa,ZAF,3.0
710,2018,South Africa,ZAF,4.0
710,2019,South Africa,ZAF,1.0
710,2020,South Africa,ZAF,6.0
410,2013,South Korea,KOR,291.0
410,2014,South Korea,KOR,365.0
410,2015,South Korea,KOR,457.0
410,2016,South Korea,KOR,1158.0
410,2017,South Korea,KOR,2376.0
410,2018,South Korea,KOR,4161.0
410,2019,South Korea,KOR,6595.0
410,2020,South Korea,KOR,8296.0
724,2013,Spain,ESP,22.0
724,2014,Spain,ESP,32.0
724,2015,Spain,ESP,37.0
724,2016,Spain,ESP,50.0
724,2017,Spain,ESP,52.0
724,2018,Spain,ESP,49.0
724,2019,Spain,ESP,46.0
724,2020,Spain,ESP,42.0
144,2013,Sri Lanka,LKA,0.0
144,2014,Sri Lanka,LKA,0.0
144,2015,Sri Lanka,LKA,0.0
144,2016,Sri Lanka,LKA,1.0
144,2017,Sri Lanka,LKA,0.0
144,2018,Sri Lanka,LKA,0.0
144,2019,Sri Lanka,LKA,0.0
144,2020,Sri Lanka,LKA,0.0
752,2013,Sweden,SWE,13.0
752,2014,Sweden,SWE,3.0
752,2015,Sweden,SWE,6.0
752,2016,Sweden,SWE,12.0
752,2017,Sweden,SWE,11.0
752,2018,Sweden,SWE,31.0
752,2019,Sweden,SWE,16.0
752,2020,Sweden,SWE,23.0
756,2013,Switzerland,CHE,0.0
756,2014,Switzerland,CHE,4.0
756,2015,Switzerland,CHE,3.0
756,2016,Switzerland,CHE,4.0
756,2017,Switzerland,CHE,2.0
756,2018,Switzerland,CHE,4.0
756,2019,Switzerland,CHE,3.0
756,2020,Switzerland,CHE,5.0
158,2013,Taiwan,TWN,47.0
158,2014,Taiwan,TWN,36.0
158,2015,Taiwan,TWN,47.0
158,2016,Taiwan,TWN,98.0
158,2017,Taiwan,TWN,186.0
158,2018,Taiwan,TWN,356.0
158,2019,Taiwan,TWN,497.0
158,2020,Taiwan,TWN,624.0
764,2013,Thailand,THA,0.0
764,2014,Thailand,THA,0.0
764,2015,Thailand,THA,0.0
764,2016,Thailand,THA,0.0
764,2017,Thailand,THA,1.0
764,2018,Thailand,THA,0.0
764,2019,Thailand,THA,0.0
764,2020,Thailand,THA,0.0
788,2013,Tunisia,TUN,0.0
788,2014,Tunisia,TUN,0.0
788,2015,Tunisia,TUN,0.0
788,2016,Tunisia,TUN,0.0
788,2017,Tunisia,TUN,0.0
788,2018,Tunisia,TUN,0.0
788,2019,Tunisia,TUN,0.0
788,2020,Tunisia,TUN,1.0
792,2013,Turkey,TUR,3.0
792,2014,Turkey,TUR,2.0
792,2015,Turkey,TUR,4.0
792,2016,Turkey,TUR,8.0
792,2017,Turkey,TUR,11.0
792,2018,Turkey,TUR,18.0
792,2019,Turkey,TUR,25.0
792,2020,Turkey,TUR,46.0
804,2013,Ukraine,UKR,11.0
804,2014,Ukraine,UKR,22.0
804,2015,Ukraine,UKR,12.0
804,2016,Ukraine,UKR,4.0
804,2017,Ukraine,UKR,2.0
804,2018,Ukraine,UKR,4.0
804,2019,Ukraine,UKR,1.0
804,2020,Ukraine,UKR,0.0
826,2013,United Kingdom,GBR,80.0
826,2014,United Kingdom,GBR,70.0
826,2015,United Kingdom,GBR,93.0
826,2016,United Kingdom,GBR,188.0
826,2017,United Kingdom,GBR,276.0
826,2018,United Kingdom,GBR,407.0
826,2019,United Kingdom,GBR,423.0
826,2020,United Kingdom,GBR,431.0
840,2013,United States,USA,2230.0
840,2014,United States,USA,2738.0
840,2015,United States,USA,3930.0
840,2016,United States,USA,6163.0
840,2017,United States,USA,9851.0
840,2018,United States,USA,13262.0
840,2019,United States,USA,13873.0
840,2020,United States,USA,12676.0
858,2013,Uruguay,URY,0.0
858,2014,Uruguay,URY,0.0
858,2015,Uruguay,URY,0.0
858,2016,Uruguay,URY,0.0
858,2017,Uruguay,URY,1.0
858,2018,Uruguay,URY,0.0
858,2019,Uruguay,URY,0.0
858,2020,Uruguay,URY,1.0
